id,topic,gate,suggested_day,slot,text,x_weighted_characters,asset,alt_text,status
001,Meet Cival,EDUCATION,1,AM,"Cival Systems brings trading strategies, a dashboard and an automation workspace into one product family. Explore the idea before choosing how you want to run it. https://www.civalsystems.com/about?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_001",186,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
002,Meet Cival,EDUCATION,1,PM,"Your strategy needs somewhere to operate. Cival Systems is built around the workspace: agents, positions, risk settings and the information you need to monitor them. https://www.civalsystems.com/about?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_002",189,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
003,Meet Cival,EDUCATION,2,AM,"Curious about automated trading? Start with the workflow, not a return forecast. See what Cival Systems is building and how the pieces fit together. https://www.civalsystems.com/about?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_003",172,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
004,Meet Cival,EDUCATION,2,PM,"We built Cival Systems to make trading automation more approachable: a place to configure strategies, inspect activity and understand what your software is doing. https://www.civalsystems.com/about?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_004",186,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
005,Meet Cival,EDUCATION,3,AM,"An autonomous trading journey starts with understanding the system. Explore Cival Systems, compare the options and read the setup requirements before committing. https://www.civalsystems.com/about?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_005",185,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
006,Explore the demo,EDUCATION,3,PM,"Before choosing software, explore its interface. The Cival demo shows the broader dashboard with sample data. Demo results are illustrative, not expected returns. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_006",186,assets/demo-overview.jpg,"Broader Cival dashboard demo showing sample data, not measured performance.",DRAFT_NOT_PUBLISHED
007,Explore the demo,EDUCATION,4,AM,"What should an agent dashboard tell you? Its status, allocation and recent activity are a useful start. Explore those ideas in the Cival demo. Sample data only. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_007",184,assets/demo-overview.jpg,"Broader Cival dashboard demo showing sample data, not measured performance.",DRAFT_NOT_PUBLISHED
008,Explore the demo,EDUCATION,4,PM,A product screenshot should help you understand the product. Our galleries identify demo and hosted testnet captures so you can tell what you are looking at. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_008,181,assets/demo-overview.jpg,"Broader Cival dashboard demo showing sample data, not measured performance.",DRAFT_NOT_PUBLISHED
009,Explore the demo,EDUCATION,5,AM,"Take the Cival demo for a walkthrough: inspect the overview, open an agent and explore the surrounding workspace. The demo uses sample data. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_009",164,assets/demo-overview.jpg,"Broader Cival dashboard demo showing sample data, not measured performance.",DRAFT_NOT_PUBLISHED
010,Explore the demo,EDUCATION,5,PM,"Prefer to look before you read? Start with the dashboard screenshots, then check the package contents. The broader demo includes features beyond individual source packages. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_010",196,assets/demo-overview.jpg,"Broader Cival dashboard demo showing sample data, not measured performance.",DRAFT_NOT_PUBLISHED
011,Hosting explained,HOSTING_REVIEW,6,AM,"Want a hosted workspace instead of maintaining your own server? Compare Cival hosting plans, agent capacity and setup requirements. Trading involves risk. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_011",178,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
012,Hosting explained,HOSTING_REVIEW,6,PM,Cival hosting and source-code purchases are separate offerings. Hosting provides a managed workspace; source software is for people who want to run and modify their own installation. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_012,206,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
013,Hosting explained,HOSTING_REVIEW,7,AM,"Choose hosting by the number of agents you need, then configure your workspace. More agents do not guarantee better results. See the current plans and terms. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_013",181,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
014,Hosting explained,HOSTING_REVIEW,7,PM,"A hosted dashboard still needs an operator. Choose your strategy, connect the right account, set limits and review activity. Read how Cival hosting works. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_014",178,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
015,Hosting explained,HOSTING_REVIEW,8,AM,"Infrastructure is only part of automated trading. Your account connection, strategy configuration and risk decisions matter too. Start with the Cival hosting guide. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_015",188,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
016,Solo trial,HOSTING_REVIEW,8,PM,Eligible new Cival hosting customers can start Solo with a seven-day trial. A payment method is required. Review the renewal amount and date at checkout; cancel before renewal to avoid the charge. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_016,220,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
017,Solo trial,HOSTING_REVIEW,9,AM,The Solo trial is a chance to evaluate the workspace and setup flow. It does not include trading capital or promise a return. Check eligibility and billing terms before starting. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_017,202,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
018,Solo trial,HOSTING_REVIEW,9,PM,"One strategy is enough to learn the workflow: configure, connect, validate and monitor. Explore Solo hosting and the seven-day trial terms. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_018",163,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
019,Solo trial,HOSTING_REVIEW,10,AM,"Before starting a trial, know what happens next. Cival hosting explains provisioning, account connection and renewal. Stripe shows billing details before confirmation. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_019",191,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
020,Solo trial,HOSTING_REVIEW,10,PM,Use your trial to ask practical questions: Can I understand the settings? Can I inspect activity? Do I know how to stop? Explore Solo hosting and its current terms. https://www.civalsystems.com/hosted?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_020,188,assets/launch-brand.png,"Conceptual modular computing artwork for Cival Systems, not a product screenshot.",DRAFT_NOT_PUBLISHED
021,Setup workflow,EDUCATION,11,AM,Four useful setup questions: Which edition am I using? Which network is selected? Which account is connected? What limits are configured? Start with the Cival setup guide. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_021,195,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
022,Setup workflow,EDUCATION,11,PM,"Installation is the beginning. Validate configuration, account access and the order lifecycle before relying on automation. Our setup guide lays out the checks. https://www.civalsystems.com/docs/setup?utm_source=x&utm_medium=organic_social&utm_campaign=cival_launch_2026&utm_content=post_022",184,assets/workflow-square.png,"Conceptual illustration of configure, validate and monitor stages; not a product screenshot.",DRAFT_NOT_PUBLISHED
